,station_date,split,pos_lat,pos_lon,pos_height,solution_quality,num_satellites,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,pdop,pos_uncertainty,bds_sat_count_obs,snr_mean,snr_min,snr_max,snr_std,true_h_error_m,reliability_class
2023-12-10 00:26:00,URUM_20231210,train,43.807945331,87.600676772,854.1911,5,13,2.4135,1.5738,5.2717,0.3857,-0.4068,-2.405,0.0,0.0,6.00771583715475,2.881289414480954,26,42.82284615384616,33.902,50.676,4.734729894659738,0.6957506628207865,0
2023-12-10 00:26:30,URUM_20231210,train,43.807947709,87.600676359,854.7989,5,13,2.4155,1.5738,5.2647,0.3723,-0.4026,-2.4017,0.0,0.0,6.002378926725637,2.882964913071264,26,42.69511538461538,32.949,50.641,4.808245370834754,0.4998264724314837,0
2023-12-10 00:27:00,URUM_20231210,train,43.807942517,87.60067434,855.3716,5,13,2.4176,1.5738,5.2576,0.3582,-0.3985,-2.3984,0.0,0.0,5.996998746039555,2.8847246315723103,26,42.80588461538461,33.602,50.559,4.705081060529547,0.8741725995630146,0
2023-12-10 00:27:30,URUM_20231210,train,43.807941381,87.600674861,855.3052,5,13,2.4196,1.5739,5.2503,0.3436,-0.3945,-2.3951,0.0,0.0,5.991433506265425,2.886455502861598,26,42.746346153846154,33.141,50.445,4.736695193421741,1.007225243814014,0
2023-12-10 00:28:00,URUM_20231210,train,43.807947197,87.600677029,854.4328,5,13,2.4217,1.5739,5.243,0.3282,-0.3905,-2.3918,0.0,0.0,5.985886826527879,2.888216075711788,26,42.85961538461539,33.777,50.594,4.688804829181297,0.5755049909804751,0
2023-12-10 00:28:30,URUM_20231210,train,43.807946804,87.600676701,853.6177,5,13,2.4238,1.574,5.2354,0.3121,-0.3867,-2.3885,0.0,0.0,5.980108326778036,2.890031563841475,26,42.84196153846154,33.566,50.789,4.694836972511563,0.5792937698522606,0
2023-12-10 00:29:00,URUM_20231210,train,43.80794065,87.600669617,856.0438,5,13,2.426,1.574,5.2278,0.295,-0.3828,-2.3852,0.0,0.0,5.974348905110917,2.89187689917811,26,42.781,32.258,50.539,4.771243988730822,1.0455790098776985,0
2023-12-10 00:29:30,URUM_20231210,train,43.807942528,87.600674137,856.0793,5,13,2.4281,1.5741,5.22,0.2767,-0.3791,-2.3819,0.0,0.0,5.9684051822911615,2.8936932145616265,26,42.77773076923077,34.16,50.57,4.659767269361785,0.8681457941783906,0
2023-12-10 00:30:00,URUM_20231210,train,43.807944643,87.600674275,854.2381,5,13,2.4303,1.5742,5.2121,0.2572,-0.3755,-2.3786,0.0,0.0,5.962419822521726,2.895593847555282,26,42.710846153846155,32.621,50.801,4.928313007042533,0.6510683379271033,0
2023-12-10 00:30:30,URUM_20231210,train,43.807948515,87.600674493,852.9641,5,14,1.9955,1.5065,4.6564,0.8316,-1.0957,-1.5522,0.0,0.0,5.285226907144101,2.500312480471191,26,42.757923076923085,33.367,50.809,4.86388863296089,0.325319217682169,0
